table_name;database_name;schema_name
jenis_organisasis;dbuser;public
lembagas;dbuser;public
tipe_penggunas;dbuser;public
grup_jabatans;dbuser;public
organisasis;dbuser;public
users;dbuser;public
logo_instansis;dbuser;public
jabatans;dbuser;public
daftar_penandatangans;dbuser;public
grup_tujuans;dbuser;public
daftar_tujuans;dbuser;public
grup_tujuan_disposisis;dbuser;public
daftar_tujuan_disposisis;dbuser;public
audits;dbuser;public
reorganisasis;dbuser;public
tujuans;dbuser;public
tembusans;dbuser;public
verifikators;dbuser;public
signatures;dbuser;public
roles;dbuser;public
permissions;dbuser;public
model_has_permissions;dbuser;public
model_has_roles;dbuser;public
role_has_permissions;dbuser;public
announces;dbuser;public
migrations;dbuser;public
announce_roles;dbuser;public
result_migrations;dbuser;public
sessions;dbuser;public
personal_access_tokens;dbuser;public
connected_devices;dbuser;public
activity_log;dbuser;public
jenis_naskahs;dbmaster;public
kategoris;dbmaster;public
instruksis;dbmaster;public
sifat_naskahs;dbmaster;public
urgensi_naskahs;dbmaster;public
klasifikasi_keamanans;dbmaster;public
penyusutan_akhirs;dbmaster;public
sektoral_klasifikasis;dbmaster;public
template_naskahs;dbmaster;public
penomoran_otomatis;dbmaster;public
klasifikasis;dbmaster;public
personal_access_tokens;dbmaster;public
migrations;dbmaster;public
naskah_masuks;dbarsip;naskahdinas
naskah_masuk_statuses;dbarsip;naskahdinas
histori_naskahs;dbarsip;naskahdinas
naskah_keluars;dbarsip;naskahdinas
naskah_keluar_statuses;dbarsip;naskahdinas
naskah_mandiris;dbarsip;naskahdinas
tujuan_mandiris;dbarsip;naskahdinas
tembusan_mandiris;dbarsip;naskahdinas
histori_tujuans;dbarsip;naskahdinas
histori_lampirans;dbarsip;naskahdinas
tindak_lanjuts;dbarsip;naskahdinas
disposisis;dbarsip;naskahdinas
disposisi_instruksi;dbarsip;naskahdinas
penyelesaians;dbarsip;naskahdinas
lampiran_penyelesaians;dbarsip;naskahdinas
lampirans;dbarsip;naskahdinas
read_statuses;dbarsip;naskahdinas
replied_bies;dbarsip;naskahdinas
verifikator_naskahs;dbarsip;naskahdinas
penandatangan_naskahs;dbarsip;naskahdinas
tujuan_naskahs;dbarsip;naskahdinas
timelines;dbarsip;naskahdinas
audits;dbarsip;naskahdinas
berkas;dbarsip;berkas
agenda_naskahs;dbarsip;berkas
berkas_naskah;dbarsip;berkas
berkas_kategori;dbarsip;berkas
berkas_mandiris;dbarsip;berkas
berkas_mandiri_kategori;dbarsip;berkas
akses_publiks;dbarsip;berkas
peminjamans;dbarsip;berkas
berkas_peminjaman;dbarsip;berkas
naskah_peminjaman;dbarsip;berkas
pemindahans;dbarsip;penyusutan
penyerahans;dbarsip;penyusutan
berkas_pemindahan;dbarsip;penyusutan
berkas_penyerahan;dbarsip;penyusutan
dokumen_pemindahans;dbarsip;penyusutan
dokumen_penyerahans;dbarsip;penyusutan
