table_name;database_name;schema_name
naskah_masuks;dbarsip;naskahdinas
naskah_masuk_statuses;dbarsip;naskahdinas
histori_naskahs;dbarsip;naskahdinas
naskah_keluars;dbarsip;naskahdinas
naskah_keluar_statuses;dbarsip;naskahdinas
naskah_mandiris;dbarsip;naskahdinas
tujuan_mandiris;dbarsip;naskahdinas
tembusan_mandiris;dbarsip;naskahdinas
histori_tujuans;dbarsip;naskahdinas
histori_lampirans;dbarsip;naskahdinas
tindak_lanjuts;dbarsip;naskahdinas
disposisis;dbarsip;naskahdinas
disposisi_instruksi;dbarsip;naskahdinas
penyelesaians;dbarsip;naskahdinas
lampiran_penyelesaians;dbarsip;naskahdinas
lampirans;dbarsip;naskahdinas
read_statuses;dbarsip;naskahdinas
replied_bies;dbarsip;naskahdinas
verifikator_naskahs;dbarsip;naskahdinas
penandatangan_naskahs;dbarsip;naskahdinas
tujuan_naskahs;dbarsip;naskahdinas
timelines;dbarsip;naskahdinas
audits;dbarsip;naskahdinas
berkas;dbarsip;berkas
agenda_naskahs;dbarsip;berkas
berkas_naskah;dbarsip;berkas
berkas_kategori;dbarsip;berkas
berkas_mandiris;dbarsip;berkas
berkas_mandiri_kategori;dbarsip;berkas
akses_publiks;dbarsip;berkas
peminjamans;dbarsip;berkas
berkas_peminjaman;dbarsip;berkas
naskah_peminjaman;dbarsip;berkas
pemindahans;dbarsip;penyusutan
penyerahans;dbarsip;penyusutan
berkas_pemindahan;dbarsip;penyusutan
berkas_penyerahan;dbarsip;penyusutan
dokumen_pemindahans;dbarsip;penyusutan
dokumen_penyerahans;dbarsip;penyusutan
