schema_name;table_name
public;naskah_masuks
public;naskah_masuk_statuses
public;histori_naskahs
public;naskah_keluars
public;naskah_keluar_statuses
public;naskah_mandiris
public;tujuan_mandiris
public;tembusan_mandiris
public;histori_tujuans
public;histori_lampirans
public;tindak_lanjuts
public;disposisis
public;disposisi_instruksi
public;penyelesaians
public;lampiran_penyelesaians
public;lampirans
public;read_statuses
public;replied_bies
public;verifikator_naskahs
public;penandatangan_naskahs
public;tujuan_naskahs
public;timelines
public;audits
public;berkas
public;agenda_naskahs
public;berkas_naskah
public;berkas_kategori
public;berkas_mandiris
public;berkas_mandiri_kategori
public;akses_publiks
public;peminjamans
public;berkas_peminjaman
public;naskah_peminjaman
public;pemindahans
public;penyerahans
public;berkas_pemindahan
public;berkas_penyerahan
public;dokumen_pemindahans
public;dokumen_penyerahans
